(0-0)+0=0;(1*1)-1=1
(2-2)+(2+1)=3;(3*3)-(3-2)=4
(0*2)*(4+3)=0;(1/3)/(5-4)=1
3*(0+1)=3;4/(1-2)=4
(0*4)*(4*4)=0;(1/5)/(5/5)=1
(0+1)*(1-0)=1;(1-2)/(2*1)=2
(4-3)*(3+1)=4;(5*4)/(4-2)=5
(1+1)*(3*1)=6;(2-2)/(4/2)=7
(4-3)+(1+3)=5;(5*4)-(2-4)=6
(2*1)-(4-2)=0;(3/2)*(5*3)=1
(0*4)*(2*0)=0;(1/5)/(3/1)=1
(2+1)+(1+1)=5;(3-2)-(2-2)=6
(0+4)*(4+3)=28;(1-5)/(5-4)=39
(0*4)+(0*1)=0;(1/5)-(1/2)=1
(1+2)-(4*0)=3;(2-3)*(5/1)=4
(2-3)+(4*3)=11;(3*4)-(5/4)=22
(1-0)*(4*3)=12;(2*1)/(5/4)=23
(3+1)-(2-1)=3;(4-2)*(3*2)=4
(0+3)-(0+1)=2;(1-4)*(1-2)=3
(4+1)+(3+0)=8;(5-2)-(4-1)=9
(4+0)+(0-4)=0;(5-1)-(1*5)=1
(4+2)+(4-4)=6;(5-3)-(5*5)=7
(0+2)+(1+2)=5;(1-3)-(2-3)=6
(0-3)+(3+2)=2;(1*4)-(4-3)=3
(3*4)-(1+2)=9;(4/5)*(2-3)=0
(3-2)*(3*2)=6;(4*3)/(4/3)=7
(0+2)+(2*0)=2;(1-3)-(3/1)=3
(1+4)*(3*0)=0;(2-5)/(4/1)=1
(2*2)*(3*0)=0;(3/3)/(4/1)=1
(2+2)*(1*2)=8;(3-3)/(2/3)=9
(2+4)-(3+1)=2;(3-5)*(4-2)=3
(4-4)*(1-4)=0;(5*5)/(2*5)=1
(3+4)*(4*4)=112;(4-5)/(5/5)=223
(3*0)*(1+4)=0;(4/1)/(2-5)=1
(4+2)*(0*0)=0;(5-3)/(1/1)=1
(0+4)-(2-3)=5;(1-5)*(3*4)=6
(2+1)-(4-4)=3;(3-2)*(5*5)=4
(0+2)+(3-2)=3;(1-3)-(4*3)=4
(3+0)+(3+2)=8;(4-1)-(4-3)=9
(4-0)+(1+2)=7;(5*1)-(2-3)=8
(4+1)+(2-2)=5;(5-2)-(3*3)=6
(1-1)*(0-0)=0;(2*2)/(1*1)=1
(4*0)*(3*3)=0;(5/1)/(4/4)=1
(3*2)*(0+3)=18;(4/3)/(1-4)=29
(3*4)+(1+4)=17;(4/5)-(2-5)=28
(4-4)-(1-4)=3;(5*5)*(2*5)=4
(2+1)+(2+0)=5;(3-2)-(3-1)=6
(1-0)+(4+4)=9;(2*1)-(5-5)=0
(2-1)*(3*0)=0;(3*2)/(4/1)=1
(3-4)-(0-1)=0;(4*5)*(1*2)=1
2+(4*3)=14;3-(5/4)=25
(3+3)-(2-2)=6;(4-4)*(3*3)=7
(0*4)+(2+1)=3;(1/5)-(3-2)=4
(3+4)*(2-2)=0;(4-5)/(3*3)=1
(2+0)+(2-2)=2;(3-1)-(3*3)=3
(4*4)-(1+0)=15;(5/5)*(2-1)=26
(3*2)-(4+2)=0;(4/3)*(5-3)=1
(2*4)*(4*0)=0;(3/5)/(5/1)=1
(0+1)*(3*2)=6;(1-2)/(4/3)=7
(4+1)+(0*1)=5;(5-2)-(1/2)=6
(2*4)+(2+1)=11;(3/5)-(3-2)=22
(3+4)-(2+3)=2;(4-5)*(3-4)=3
(1*4)*(2+4)=24;(2/5)/(3-5)=35
(2+2)-(0*3)=4;(3-3)*(1/4)=5
(4*3)-(4-2)=10;(5/4)*(5*3)=21
(3-0)*(2+1)=9;(4*1)/(3-2)=0
(0-2)+(1*2)=0;(1*3)-(2/3)=1
(4-1)*(2*4)=24;(5*2)/(3/5)=35
(4+3)+(4*0)=7;(5-4)-(5/1)=8
(3*0)*(2*4)=0;(4/1)/(3/5)=1
(2-2)*0=0;(3*3)/1=1
(4-1)+(2+0)=5;(5*2)-(3-1)=6
(1*0)*(2*1)=0;(2/1)/(3/2)=1
(2+0)*(0+2)=4;(3-1)/(1-3)=5
(2-2)*(1*3)=0;(3*3)/(2/4)=1
(1*4)-4=0;(2/5)*5=1
(4+0)+(1+4)=9;(5-1)-(2-5)=0
(4+2)+(2*2)=10;(5-3)-(3/3)=21
(4*1)+(3*4)=16;(5/2)-(4/5)=27
(3+3)*4=24;(4-4)/5=35
(3*2)*(4*4)=96;(4/3)/(5/5)=07
(3*1)-(0+1)=2;(4/2)*(1-2)=3
3+(1-0)=4;4-(2*1)=5
(4+3)-(4*1)=3;(5-4)*(5/2)=4
(3*2)+(2*4)=14;(4/3)-(3/5)=25
(0+3)*(4-3)=3;(1-4)/(5*4)=4
(4-3)*(4-3)=1;(5*4)/(5*4)=2
(1+4)*(2-0)=10;(2-5)/(3*1)=21
(1-1)*(2-1)=0;(2*2)/(3*2)=1
(3+3)+(4-0)=10;(4-4)-(5*1)=21
(4+0)*(2*0)=0;(5-1)/(3/1)=1
(0*0)*(1+2)=0;(1/1)/(2-3)=1
0*(2*1)=0;1/(3/2)=1
4+(1-2)=3;5-(2*3)=4
(2+1)-(0*3)=3;(3-2)*(1/4)=4
(1-0)*(0+3)=3;(2*1)/(1-4)=4
(3-1)-(0*0)=2;(4*2)*(1/1)=3
(1-3)*(0-3)=6;(2*4)/(1*4)=7
(0+4)*(3+0)=12;(1-5)/(4-1)=23
(4+4)*(1+3)=32;(5-5)/(2-4)=43
(0-2)*(0*3)=0;(1*3)/(1/4)=1
(1+4)+(2*2)=9;(2-5)-(3/3)=0
(0+1)+(4-0)=5;(1-2)-(5*1)=6
(3+0)*(2+0)=6;(4-1)/(3-1)=7
(0-0)+(0*1)=0;(1*1)-(1/2)=1
(2-2)*(4*3)=0;(3*3)/(5/4)=1
(1-4)+(2+1)=0;(2*5)-(3-2)=1
(4*2)*(0*2)=0;(5/3)/(1/3)=1
(3*1)-0=3;(4/2)*1=4
